entity,count
Atlantique,120
Zou,64
Qué,63
Porto-Novo,30
Ghana,20
Mono,17
Kandi,13
Alibori,12
Senegal,10
Borgou,9
Governance,9
Godomey,8
Ketu,8
Lokossa,7
Africans,6
Zongo,5
Ouidah,5
France Kandi,5
Cotonou,5
Prince,5
Zoundja,4
Abomey,4
Entrepreneur,4
Couffo,4
Pobe,4
Dahomey,4
Nigerien,3
Oueme,3
Landlord,3
Kalale,3
Kofouno,3
Kidnapper,3
Dosso,3
Malanville,3
Africans Ouidah,3
Tchaourou,3
Village Parakou,3
Bopa,2
Goodluck Jonathan,2
Karimama,2
Kpota,2
Authorities,2
Cotonou Governance,2
Akassato,2
Terrorist,2
Kazakhstan,2
Indigenous,2
Cotonou Cadjehoun,2
Religion Ouidah,2
Helsinki Abomey,2
